Date,season,interest_rate,permit,loan,hp,Sentiment
1991/1/1,1,7.18,10465,1658483,98.16,0.005097271
1991/4/1,2,8.27,17129,1728606,104.16,0.015780528
1991/7/1,3,7.766666667,17332,1848549,106.68,0.016126075
1991/10/1,4,6.022666667,20174,1965070,109.99,0.018451218
1992/1/1,5,6.373333333,19290,2109225,113.21,0.013148653
1992/4/1,6,7.718666667,24712,2203124,117.82,0.017371285
1992/7/1,7,6.924333333,22475,2577393,119.27,0.018751178
1992/10/1,8,6.248333333,20062,2635296,118.96,0.019887718
1993/1/1,9,7.217,18225,2719686,118.97,0.019401717
1993/4/1,10,6.725333333,20760,2819222,116.62,0.017603583
1993/7/1,11,5.692,19483,2930652,123.8,0.014108834
1993/10/1,12,5.783333333,18110,3044625,122.1,0.016958153
1994/1/1,13,6.438333333,16057,3229786,124.42,0.021130776
1994/4/1,14,5.387,17822,3419592,124,0.019778785
1994/7/1,15,7.458,16873,3670702,123.55,0.020199071
1994/10/1,16,5.925666667,16679,4011303,122.66,0.011407385
1995/1/1,17,5.999666667,13908,4253961,119.93,0.016732744
1995/4/1,18,6.082333333,14559,4462895,120.01,0.01466393
1995/7/1,19,6.584666667,13932,4698246,117.62,0.004681245
1995/10/1,20,6.269666667,11896,4965926,113.49,0.012276127
1996/1/1,21,5.963333333,10546,5254936,113.37,0.01410544
1996/4/1,22,5.491,10370,5503427,115.49,0.016881479
1996/7/1,23,5.198333333,11186,5757936,117.42,0.019635545
1996/10/1,24,5.043333333,10567,5918011,116.51,0.021372484
1997/1/1,25,6.167,10216,6172836,115.09,0.023801904
1997/4/1,26,6.477666667,11145,6370426,117.46,0.023123773
1997/7/1,27,7.591333333,10368,6643972,116.61,0.026147118
1997/10/1,28,7.199333333,10478,6817057,115.08,0.019145959
1998/1/1,29,7.155,9304,6936753,115.98,0.02689595
1998/4/1,30,6.838,10455,6990815,114.32,0.024544327
1998/7/1,31,6.647333333,9007,7064961,110.89,0.018137602
1998/10/1,32,5.472,8455,7208728,111.23,0.006176559
1999/1/1,33,4.775,6742,7418715,106.39,0.004408277
1999/4/1,34,4.718666667,7994,7527913,107.05,0.018246513
1999/7/1,35,4.837666667,7299,7557733,107.16,0.017803515
1999/10/1,36,4.790666667,6032,7586250,104.8,0.009425919
2000/1/1,37,4.622666667,7149,7578845,105.42,0.019162653
2000/4/1,38,4.737666667,8632,7663663,105.8,0.018185851
2000/7/1,39,4.779333333,7288,7733504,102.77,0.013811686
2000/10/1,40,4.739,6424,7902840,97.81,-0.004823896
2001/1/1,41,4.510666667,5352,7963747,100,0.009559329
2001/4/1,42,4.053,6199,7966516,98.58,0.005313946
2001/7/1,43,3.457333333,5364,7923087,97.62,0.016220561
2001/10/1,44,2.534333333,5260,7875842,96.39,0.014889983
2002/1/1,45,2.283,4770,7912650,97.63,0.020971892
2002/4/1,46,2.183666667,6608,8000498,99.99,0.019349586
2002/7/1,47,1.948,6796,8093571,99.61,0.016482569
2002/10/1,48,1.780333333,7108,8231039,100.07,0.01649758
2003/1/1,49,1.254333333,6475,8321745,100.95,0.020634394
2003/4/1,50,1.175,7928,8441287,99.13,0.015275228
2003/7/1,51,1.024,8847,8641031,104.72,0.026477407
2003/10/1,52,1.023666667,11218,8946064,107.34,0.028714124
2004/1/1,53,0.994333333,11839,9292633,112.52,0.029008077
2004/4/1,54,0.985666667,10652,9668524,116.63,0.028557798
2004/7/1,55,1.052,11587,9969377,119.03,0.025166211
2004/10/1,56,1.144,11856,10306470,121.99,0.024855438
2005/1/1,57,1.208666667,10949,10681103,123.47,0.029384389
2005/4/1,58,1.266,11696,10993590,126.39,0.027427819
2005/7/1,59,1.337666667,10366,11304283,128.72,0.025648571
2005/10/1,60,1.393666667,10794,11637977,132.04,0.028312234
2006/1/1,61,1.448333333,8542,11932299,132.67,0.028277674
2006/4/1,62,1.522,9408,12185806,139.09,0.031319657
2006/7/1,63,1.589333333,8117,12444893,141.12,0.02670253
2006/10/1,64,1.660666667,9117,12676138,147.14,0.031670966
2007/1/1,65,1.694333333,8828,12907110,152.14,0.029007825
2007/4/1,66,2.117666667,8223,13079748,156.39,0.030514858
2007/7/1,67,2.010666667,7629,13311671,155.03,0.020522046
2007/10/1,68,2.043333333,7024,13454461,152.61,0.021360605
2008/1/1,69,2.084666667,5279,13488066,160.48,0.028743751
2008/4/1,70,2.103666667,5675,13687071,163.75,0.028048565
2008/7/1,71,2.138666667,4445,13773810,159.65,0.00466323
2008/10/1,72,1.402666667,4085,13738407,151.72,-0.002490074
2009/1/1,73,0.171,3234,13645755,152.8,0.001892923
2009/4/1,74,0.108333333,4251,13760894,161.83,0.017345536
2009/7/1,75,0.100333333,5818,14097178,172.47,0.01947608
2009/10/1,76,0.103666667,7214,14351056,178.51,0.019701973
2010/1/1,77,0.114,6294,14547908,184.81,0.015918993
2010/4/1,78,0.173666667,7969,14781003,191.07,0.012314593
2010/7/1,79,0.203,6948,14991416,195.97,0.015146167
2010/10/1,80,0.232,8485,15202982,206.76,0.019433112
2011/1/1,81,0.264333333,7676,15440477,215.94,0.017838164
2011/4/1,82,0.319666667,8333,15610018,218.72,0.015630602
2011/7/1,83,0.385666667,7997,15707050,224.95,0.018099466
2011/10/1,84,0.397,9155,15777691,227.03,0.0087283
2012/1/1,85,0.401333333,7173,15752662,231.1,0.018466653
2012/4/1,86,0.500333333,8087,15878142,241.27,0.017323674
2012/7/1,87,0.407333333,7756,16089777,244.19,0.019564006
2012/10/1,88,0.387333333,8221,16208999,248.95,0.020561118
2013/1/1,89,0.387,7475,16302989,259.2,0.025196164
2013/4/1,90,0.386,8691,16392009,278.51,0.022580678
2013/7/1,91,0.386,8521,16572257,280.87,0.021175262
2013/10/1,92,0.386666667,8844,16811494,286.53,0.020334483
2014/1/1,93,0.387333333,7727,17012483,290.73,0.015154901
2014/4/1,94,0.387333333,8563,17177014,297.78,0.014161751
2014/7/1,95,0.386666667,7957,17377872,294.88,0.01316292
2014/10/1,96,0.387,7747,17524937,292.6,0.01464897
2015/1/1,97,0.387333333,6822,17624802,291.84,0.011512032
2015/4/1,98,0.387,7201,17728229,289.3,0.016120653
2015/7/1,99,0.358,6734,17888855,285.43,0.014162004
2015/10/1,100,0.292333333,6886,18158207,280.63,0.014685998
2016/1/1,101,0.212,5206,18384373,274.2,0.008215368
2016/4/1,102,0.201,5745,18505952,279.74,0.013309076
2016/7/1,103,0.18,5544,18752263,278.97,0.007337649
2016/10/1,104,0.178333333,6016,18988249,277.06,0.009777954
2017/1/1,105,0.175333333,5819,19161539,278.24,0.012558542
2017/4/1,106,0.176666667,6075,19349882,282.36,0.015113055
2017/7/1,107,0.182666667,6527,19593638,279.62,0.016768677
2017/10/1,108,0.179,6614,19832171,281.96,0.020088293
2018/1/1,109,0.180333333,6496,20050739,283.34,0.022596642
2018/4/1,110,0.187333333,6942,20254610,285.55,0.021288557
2018/7/1,111,0.181333333,6698,20524867,283.98,0.015032777
2018/10/1,112,0.181666667,7208,20824034,287.2,0.019271431
2019/1/1,113,0.179,5664,21024589,289.33,0.026147987
2019/4/1,114,0.193,7288,21299685,294.46,0.026015955
2019/7/1,115,0.180666667,6982,21674771,293.35,0.022124579
2019/10/1,116,0.176666667,7209,22075539,296.48,0.024527354
2020/1/1,117,0.167333333,5900,22375148,297.06,0.022619216
2020/4/1,118,0.08,6533,22713517,302.61,0.028728501
2020/7/1,119,0.082333333,6927,23219112,311.23,0.031022051
2020/10/1,120,0.082,NA,7876884,NA,0.026983343
