Date,season,interest_rate,permit_count_total,permit_count_house,permit_hh,population,household,hp,Sentiment
1991-01-01,1,7.18,134,77,1872,NA,NA,90.59,0.005097270691998748
1991-04-01,2,8.27,134,93,2994,NA,NA,95.02,0.015780528127880646
1991-07-01,3,7.766666666666667,179,121,3182,NA,NA,98.59,0.01612607483609321
1991-10-01,4,6.022666666666667,219,159,3604,NA,NA,102.1,0.018451218174658352
1992-01-01,5,6.373333333333333,177,136,3504,NA,NA,104.35,0.01314865281515468
1992-04-01,6,7.718666666666667,218,162,4927,NA,NA,108.33,0.01737128540842781
1992-07-01,7,6.924333333333333,205,157,3967,NA,NA,111.19,0.01875117755688991
1992-10-01,8,6.248333333333333,235,187,6461,NA,NA,110.03,0.019887717769572284
1993-01-01,9,7.217,202,156,4887,2690151,822487.3333333334,107.8,0.019401717222433314
1993-04-01,10,6.725333333333333,223,157,5103,2679284,824062.6666666666,109.08,0.01760358309064678
1993-07-01,11,5.692,269,203,8367,2667304.3333333335,824012,114.84,0.014108834198764977
1993-10-01,12,5.783333333333333,218,169,8946,2655984.3333333335,823259.6666666666,116.06,0.016958153404888175
1994-01-01,13,6.4383333333333335,126,96,5346,2650235.3333333335,823371.3333333334,115.71,0.021130776269400256
1994-04-01,14,5.3870000000000005,132,89,2607,2651219.6666666665,826025,119.68,0.01977878510696794
1994-07-01,15,7.458,109,77,2827,2649482.6666666665,828984.6666666666,118.76,0.02019907130639153
1994-10-01,16,5.925666666666667,141,93,2518,2651450,831567.3333333334,119.54,0.011407384833888841
1995-01-01,17,5.999666666666666,95,60,3909,2653174.6666666665,834310.3333333334,110.74,0.01673274362123218
1995-04-01,18,6.082333333333334,143,90,1986,2650570.3333333335,837311,114.6,0.014663929727509677
1995-07-01,19,6.584666666666666,119,75,1745,2645207,840076.3333333334,113.67,0.004681245403040173
1995-10-01,20,6.269666666666667,102,75,1317,2636927.3333333335,839483,105.1,0.012276126673289412
