Date,R,Permit_TW1,Permit_TW2,Permit_TPE1,Permit_TPE2,Permit_TPE3,Loan1,Loan2,Loan3,pop_tw1,pop_tw2,pop_tpe1,pop_tpe2,hp_tw,hp_tpe,Sent
1991/1/1,7.18,10465,17270,134,77,1872,1658483,2709521,2909525,NA,NA,NA,NA,98.16,90.59,0.005097271
1991/4/1,8.27,17129,32633,134,93,2994,1728606,2802574,3034316,NA,NA,NA,NA,104.16,95.02,0.015780528
1991/7/1,7.7667,17332,41423,179,121,3182,1848549,2960158,3224156,NA,NA,NA,NA,106.68,98.59,0.016126075
1991/10/1,6.0227,20174,44907,219,159,3604,1965070,3138331,3453730,NA,NA,NA,NA,109.99,102.1,0.018451218
1992/1/1,6.3733,19290,47309,177,136,3504,2109225,3339925,3770942,NA,NA,NA,NA,113.21,104.35,0.013148653
1992/4/1,7.7187,24712,71958,218,162,4927,2203124,3541434,4123705,NA,NA,NA,NA,117.82,108.33,0.017371285
1992/7/1,6.9243,22475,73280,205,157,3967,2577393,3893776,4633111,NA,NA,NA,NA,119.27,111.19,0.018751178
1992/10/1,6.2483,20062,62369,235,187,6461,2635296,3989182,4784643,NA,NA,NA,NA,118.96,110.03,0.019887718
1993/1/1,7.217,18225,49519,202,156,4887,2719686,4123552,4985818,20819911,5378510,2690151,822487,118.97,107.8,0.019401717
1993/4/1,6.7253,20760,65404,223,157,5103,2819222,4268115,5196047,20862102,5418651,2679284,824063,116.62,109.08,0.017603583
1993/7/1,5.692,19483,59415,269,203,8367,2930652,4437465,6117048,20913331,5455383,2667304,824012,123.8,114.84,0.014108834
1993/10/1,5.7833,18110,49239,218,169,8946,3044625,4596773,6410878,20971612,5487463,2655984,823260,122.1,116.06,0.016958153
1994/1/1,6.4383,16057,42626,126,96,5346,3229786,4835339,6760542,21015123,5515770,2650235,823371,124.42,115.71,0.021130776
1994/4/1,5.387,17822,44152,132,89,2607,3419592,5073367,7068632,21062003,5562470,2651220,826025,124,119.68,0.019778785
1994/7/1,7.458,16873,50284,109,77,2827,3670702,5371038,7477468,21111515,5610476,2649483,828985,123.55,118.76,0.020199071
1994/10/1,5.9257,16679,76218,141,93,2518,4011303,5763658,7919612,21165995,5646197,2651450,831567,122.66,119.54,0.011407385
1995/1/1,5.9997,13908,36532,95,60,3909,4253961,6035903,8181114,21197993,5673843,2653175,834310,119.93,110.74,0.016732744
1995/4/1,6.0823,14559,43243,143,90,1986,4462895,6271886,8403083,21242759,5725363,2650570,837311,120.01,114.6,0.01466393
1995/7/1,6.5847,13932,40308,119,75,1745,4698246,6546663,8589281,21293787,5778427,2645207,840076,117.62,113.67,0.004681245
1995/10/1,6.2697,11896,25604,102,75,1317,4965926,6860110,8791957,21345286,5814500,2636927,839483,113.49,105.1,0.012276127
1996/1/1,5.9633,10546,22728,96,64,987,5254936,7187875,8992665,21377125,5842865,2628693,839058,113.37,106.85,0.01410544
1996/4/1,5.491,10370,20333,109,63,1535,5503427,7471580,9194427,21407504,5899510,2619371,840993,115.49,112.28,0.016881479
1996/7/1,5.1983,11186,30470,83,58,1790,5757936,7760112,9403115,21455179,5959649,2616954,845616,117.42,115.85,0.019635545
1996/10/1,5.0433,10567,29456,109,68,1802,5918011,7952521,9523694,21505236,6009246,2606898,847155,116.51,113.94,0.021372484
1997/1/1,6.167,10216,29723,122,79,1774,6172836,8250079,9775001,21548283,6048100,2600127,847719,115.09,113.97,0.023801904
1997/4/1,6.4777,11145,37027,147,90,2614,6370426,8490748,10034292,21583557,6102586,2591501,850063,117.46,118.07,0.023123773
1997/7/1,7.5913,10368,35930,137,83,2388,6643972,8837816,10415198,21648983,6159235,2595292,854401,116.61,115.54,0.026147118
1997/10/1,7.1993,10478,26924,152,95,1788,6817057,9083704,10716294,21719969,6192265,2597627,854030,115.08,112.58,0.019145959
1998/1/1,7.155,9304,22920,134,92,1379,6936753,9266206,10967122,21772837,6230654,2602307,856240,115.98,116.4,0.02689595
1998/4/1,6.838,10455,22887,192,115,2156,6990815,9370689,11101899,21817614,6276104,2614415,861691,114.32,112.32,0.024544327
1998/7/1,6.6473,9007,19591,161,116,2656,7064961,9495805,11260207,21867319,6322606,2630968,867548,110.89,110.26,0.018137602
