Date,season,interest_rate,permit,loan,hp,Sentiment
1991/1/1,1,7.18,10465,1051038,98.16,0.005097271
1991/4/1,2,8.27,17129,1073968,104.16,0.015780528
1991/7/1,3,7.766666667,17332,1111609,106.68,0.016126075
1991/10/1,4,6.022666667,20174,1173261,109.99,0.018451218
1992/1/1,5,6.373333333,19290,1230700,113.21,0.013148653
1992/4/1,6,7.718666667,24712,1338310,117.82,0.017371285
1992/7/1,7,6.924333333,22475,1316383,119.27,0.018751178
1992/10/1,8,6.248333333,20062,1353886,118.96,0.019887718
1993/1/1,9,7.217,18225,1403866,118.97,0.019401717
1993/4/1,10,6.725333333,20760,1448893,116.62,0.017603583
1993/7/1,11,5.692,19483,1506813,123.8,0.014108834
1993/10/1,12,5.783333333,18110,1552148,122.1,0.016958153
1994/1/1,13,6.438333333,16057,1605553,124.42,0.021130776
1994/4/1,14,5.387,17822,1653775,124,0.019778785
1994/7/1,15,7.458,16873,1700336,123.55,0.020199071
1994/10/1,16,5.925666667,16679,1752355,122.66,0.011407385
1995/1/1,17,5.999666667,13908,1781942,119.93,0.016732744
1995/4/1,18,6.082333333,14559,1808991,120.01,0.01466393
1995/7/1,19,6.584666667,13932,1848417,117.62,0.004681245
1995/10/1,20,6.269666667,11896,1894184,113.49,0.012276127
1996/1/1,21,5.963333333,10546,1932939,113.37,0.01410544
1996/4/1,22,5.491,10370,1968153,115.49,0.016881479
1996/7/1,23,5.198333333,11186,2002176,117.42,0.019635545
1996/10/1,24,5.043333333,10567,2034510,116.51,0.021372484
1997/1/1,25,6.167,10216,2077243,115.09,0.023801904
1997/4/1,26,6.477666667,11145,2120322,117.46,0.023123773
1997/7/1,27,7.591333333,10368,2193844,116.61,0.026147118
1997/10/1,28,7.199333333,10478,2266647,115.08,0.019145959
1998/1/1,29,7.155,9304,2329453,115.98,0.02689595
1998/4/1,30,6.838,10455,2379874,114.32,0.024544327
1998/7/1,31,6.647333333,9007,2430844,110.89,0.018137602
1998/10/1,32,5.472,8455,2449390,111.23,0.006176559
1999/1/1,33,4.775,6742,2443127,106.39,0.004408277
1999/4/1,34,4.718666667,7994,2426750,107.05,0.018246513
1999/7/1,35,4.837666667,7299,2404990,107.16,0.017803515
1999/10/1,36,4.790666667,6032,2395009,104.8,0.009425919
2000/1/1,37,4.622666667,7149,2418166,105.42,0.019162653
2000/4/1,38,4.737666667,8632,2446241,105.8,0.018185851
2000/7/1,39,4.779333333,7288,2481919,102.77,0.013811686
2000/10/1,40,4.739,6424,2530230,97.81,-0.004823896
2001/1/1,41,4.510666667,5352,2507718,100,0.009559329
2001/4/1,42,4.053,6199,2437863,98.58,0.005313946
2001/7/1,43,3.457333333,5364,2373443,97.62,0.016220561
2001/10/1,44,2.534333333,5260,2349621,96.39,0.014889983
2002/1/1,45,2.283,4770,2270343,97.63,0.020971892
2002/4/1,46,2.183666667,6608,2204230,99.99,0.019349586
2002/7/1,47,1.948,6796,2146350,99.61,0.016482569
2002/10/1,48,1.780333333,7108,2104893,100.07,0.01649758
2003/1/1,49,1.254333333,6475,2098717,100.95,0.020634394
2003/4/1,50,1.175,7928,2083205,99.13,0.015275228
2003/7/1,51,1.024,8847,2126513,104.72,0.026477407
2003/10/1,52,1.023666667,11218,2096816,107.34,0.028714124
2004/1/1,53,0.994333333,11839,2052254,112.52,0.029008077
2004/4/1,54,0.985666667,10652,2072986,116.63,0.028557798
2004/7/1,55,1.052,11587,2097563,119.03,0.025166211
2004/10/1,56,1.144,11856,2122770,121.99,0.024855438
2005/1/1,57,1.208666667,10949,2065131,123.47,0.029384389
2005/4/1,58,1.266,11696,2129673,126.39,0.027427819
2005/7/1,59,1.337666667,10366,2157253,128.72,0.025648571
2005/10/1,60,1.393666667,10794,2184612,132.04,0.028312234
2006/1/1,61,1.448333333,8542,2204311,132.67,0.028277674
2006/4/1,62,1.522,9408,2228291,139.09,0.031319657
2006/7/1,63,1.589333333,8117,2263121,141.12,0.02670253
2006/10/1,64,1.660666667,9117,2352934,147.14,0.031670966
2007/1/1,65,1.694333333,8828,2423774,152.14,0.029007825
2007/4/1,66,2.117666667,8223,2486312,156.39,0.030514858
2007/7/1,67,2.010666667,7629,2490905,155.03,0.020522046
2007/10/1,68,2.043333333,7024,2492471,152.61,0.021360605
2008/1/1,69,2.084666667,5279,2460132,160.48,0.028743751
2008/4/1,70,2.103666667,5675,2448227,163.75,0.028048565
2008/7/1,71,2.138666667,4445,2411921,159.65,0.00466323
2008/10/1,72,1.402666667,4085,2378809,151.72,-0.002490074
2009/1/1,73,0.171,3234,2369082,152.8,0.001892923
2009/4/1,74,0.108333333,4251,2338246,161.83,0.017345536
2009/7/1,75,0.100333333,5818,2308213,172.47,0.01947608
2009/10/1,76,0.103666667,7214,2280331,178.51,0.019701973
2010/1/1,77,0.114,6294,2224927,184.81,0.015918993
2010/4/1,78,0.173666667,7969,2150036,191.07,0.012314593
